frame,blink,gaze_vel,AU1-neg,AU1-pos,AU2-neg,AU2-pos,AU3-neg,AU3-pos,AU4-neg,AU4-pos,AU5-neg,AU5-pos,AU6-neg,AU6-pos,AU7-neg,AU7-pos,AU8-neg,AU8-pos,AU9-neg,AU9-pos,AU10-neg,AU10-pos,AU11-neg,AU11-pos,AU12-neg,AU12-pos
570,0,8.832061121331225,-0.1296,-2.1075,-0.0128,-4.3673,-0.4036,-1.1023,-0.1673,-1.8704,-1.0124,-0.4515,-0.1928,-1.7410,-0.8928,-0.5268,-0.0396,-3.2477,-0.1981,-1.7166,-0.3551,-1.2078,-0.1026,-2.3278,-0.1286,-2.1147
600,0,6.7947795697751046,-0.0750,-2.6280,-0.0086,-4.7621,-0.5367,-0.8787,-0.1521,-1.9582,-1.1357,-0.3874,-0.3305,-1.2678,-1.2992,-0.3185,-0.1013,-2.3400,-0.2109,-1.6601,-0.3825,-1.1462,-0.0845,-2.5125,-0.1118,-2.2460
630,0,8.808343969322207,-0.1123,-2.2421,-0.0096,-4.6553,-0.3889,-1.1327,-0.1564,-1.9325,-0.9413,-0.4945,-0.2019,-1.6994,-0.9959,-0.4610,-0.0495,-3.0296,-0.1528,-1.9538,-0.3648,-1.1852,-0.0890,-2.4635,-0.1302,-2.1028
660,0,8.236444666760011,-0.1100,-2.2614,-0.0116,-4.4626,-0.5966,-0.8001,-0.1211,-2.1713,-1.0058,-0.4553,-0.2390,-1.5486,-1.1350,-0.3877,-0.0873,-2.4822,-0.2466,-1.5208,-0.3852,-1.1405,-0.1093,-2.2674,-0.1282,-2.1175
690,0,9.199649533521079,-0.1696,-1.8581,-0.0136,-4.3049,-0.4240,-1.0626,-0.1244,-2.1461,-0.8105,-0.5881,-0.1461,-1.9957,-0.8116,-0.5872,-0.0277,-3.6016,-0.1633,-1.8929,-0.3371,-1.2511,-0.0756,-2.6202,-0.1147,-2.2219
720,0,14.99723560679127,-0.0980,-2.3716,-0.0103,-4.5819,-0.4053,-1.0989,-0.1530,-1.9526,-0.9408,-0.4948,-0.2248,-1.6028,-0.9156,-0.5113,-0.0551,-2.9265,-0.1433,-2.0135,-0.3867,-1.1372,-0.0968,-2.3831,-0.1890,-1.7592
750,0,24.316896167713068,-0.0715,-2.6743,-0.0093,-4.6806,-0.4105,-1.0887,-0.1915,-1.7472,-1.2080,-0.3550,-0.4234,-1.0637,-1.2601,-0.3335,-0.1129,-2.2369,-0.3249,-1.2822,-0.3591,-1.1984,-0.0894,-2.4594,-0.1568,-1.9299
780,0,26.271493328884446,-0.0738,-2.6428,-0.0238,-3.7486,-0.3105,-1.3208,-0.2527,-1.4992,-1.0502,-0.4306,-0.3115,-1.3180,-1.3055,-0.3161,-0.1995,-1.7099,-0.2842,-1.3968,-0.3192,-1.2972,-0.0809,-2.5542,-0.1345,-2.0723
810,0,21.80583662504245,-0.1476,-1.9862,-0.0790,-2.5769,-0.2473,-1.5181,-0.2297,-1.5835,-1.0541,-0.4285,-0.1142,-2.2263,-1.3311,-0.3068,-0.4013,-1.1069,-0.1241,-2.1482,-0.2430,-1.5337,-0.0908,-2.4440,-0.0611,-2.8257
840,0,38.92272176618409,-0.0556,-2.9174,-0.0100,-4.6092,-0.5047,-0.9255,-0.2180,-1.6304,-1.6857,-0.2050,-0.0885,-2.4685,-0.7607,-0.6299,-0.0955,-2.3956,-0.1258,-2.1354,-0.3704,-1.1728,-0.1316,-2.0934,-0.0646,-2.7718
870,0,60.080152708063046,-0.0383,-3.2824,-0.0073,-4.9229,-0.4073,-1.0950,-0.2574,-1.4831,-1.8378,-0.1734,-0.1227,-2.1585,-0.7689,-0.6227,-0.1708,-1.8515,-0.1178,-2.1974,-0.3537,-1.2109,-0.1393,-2.0398,-0.1071,-2.2871
900,0,39.41520773567609,-0.0640,-2.7805,-0.0112,-4.4934,-0.5215,-0.9005,-0.1487,-1.9792,-1.4812,-0.2579,-0.1131,-2.2356,-0.7336,-0.6542,-0.1040,-2.3145,-0.1289,-2.1122,-0.5221,-0.8996,-0.1418,-2.0235,-0.1433,-2.0136
930,0,38.95062221289292,-0.0388,-3.2696,-0.0100,-4.6076,-0.3738,-1.1651,-0.1437,-2.0112,-1.2170,-0.3511,-0.1240,-2.1489,-0.7129,-0.6738,-0.0707,-2.6848,-0.3133,-1.3132,-0.3189,-1.2981,-0.1300,-2.1047,-0.2151,-1.6421
960,0,28.70659949331519,-0.0539,-2.9468,-0.0145,-4.2429,-0.3648,-1.1853,-0.1530,-1.9530,-1.0360,-0.4383,-0.1205,-2.1761,-0.7288,-0.6588,-0.0653,-2.7613,-0.2822,-1.4028,-0.3557,-1.2063,-0.1414,-2.0257,-0.2274,-1.5927
990,0,30.381842724577325,-0.1003,-2.3489,-0.0240,-3.7428,-0.2922,-1.3729,-0.1282,-2.1176,-0.9202,-0.5082,-0.2368,-1.5566,-1.0960,-0.4068,-0.0627,-2.8003,-0.2574,-1.4832,-0.4179,-1.0741,-0.2034,-1.6924,-0.2325,-1.5730
1020,0,15.242518352421268,-0.0773,-2.5985,-0.0250,-3.7027,-0.6746,-0.7120,-0.1249,-2.1423,-1.1093,-0.4002,-0.1689,-1.8614,-0.9919,-0.4634,-0.1027,-2.3266,-0.1746,-1.8313,-0.4576,-1.0018,-0.1495,-1.9745,-0.1339,-2.0768
1050,0,6.991230358311413,-0.0691,-2.7061,-0.0223,-3.8138,-0.3796,-1.1524,-0.1252,-2.1400,-1.0844,-0.4126,-0.1526,-1.9553,-1.0093,-0.4533,-0.0813,-2.5495,-0.1859,-1.7740,-0.5286,-0.8902,-0.1203,-2.1777,-0.1509,-1.9656
1080,1,20.8558945663536,-0.0412,-3.2091,-0.0739,-2.6413,-0.4799,-0.9645,-0.1732,-1.8386,-0.8117,-0.5872,-0.2094,-1.6663,-1.5986,-0.2259,-0.2148,-1.6437,-0.1751,-1.8288,-0.4845,-0.9571,-0.1137,-2.2307,-0.0411,-3.2112
1110,0,6.862821074758743,-0.0784,-2.5851,-0.0444,-3.1377,-0.6958,-0.6905,-0.1408,-2.0298,-1.2071,-0.3553,-0.1963,-1.7249,-0.9752,-0.4734,-0.2872,-1.3877,-0.0760,-2.6150,-0.4313,-1.0489,-0.1104,-2.2584,-0.0352,-3.3648
1140,0,6.203060850788601,-0.1150,-2.2198,-0.0419,-3.1938,-0.4606,-0.9966,-0.1350,-2.0695,-1.3666,-0.2943,-0.1794,-1.8066,-0.9853,-0.4673,-0.2212,-1.6174,-0.1198,-2.1811,-0.3995,-1.1106,-0.1566,-1.9311,-0.0717,-2.6711
1170,0,4.460787363079449,-0.0887,-2.4662,-0.0272,-3.6178,-0.7065,-0.6800,-0.1279,-2.1197,-1.4678,-0.2619,-0.1434,-2.0128,-0.8628,-0.5481,-0.2143,-1.6454,-0.1412,-2.0275,-0.4367,-1.0390,-0.1684,-1.8646,-0.0891,-2.4627
1200,0,5.756665390152506,-0.0881,-2.4728,-0.0431,-3.1664,-0.4184,-1.0732,-0.1131,-2.2357,-1.3094,-0.3147,-0.1771,-1.8182,-1.0854,-0.4121,-0.2928,-1.3711,-0.1595,-1.9144,-0.4933,-0.9432,-0.1199,-2.1806,-0.0687,-2.7124
